epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2283.52,1.99203,3.77898,1.90774,0.49039,0.21952,0.22388,0.10302,1.89865,3.89905,2.04156,0.000368287,0.000368287,0.000368287
2,4535.61,1.70587,2.74065,1.64232,0.38572,0.3105,0.29367,0.15152,1.74844,3.10103,1.77273,0.000373003,0.000373003,0.000373003
